Y,Ridge,RF,SVM,NeuralNet
116.0,112.66405536821168,124.4888888888889,122.9433053223576,118.92387
144.0,102.13313280399451,92.64444444444445,112.36973400234518,115.15022
129.0,107.56498088654708,117.46666666666668,120.32580631529038,114.20614
5.0,105.9829271652106,106.0,117.4079910654596,116.51689
117.0,112.62066840042785,124.31111111111112,121.77613007794172,117.66595
111.0,119.06029628691208,118.26666666666668,114.30025313297048,118.29211
0.0,15.828897487790698,8.592531632407006,0.0999704459405705,-3.0261683
104.0,110.13479854186312,97.46666666666668,122.69761318150051,114.83588
150.0,94.72282056690962,108.8,106.63786155854788,95.86986
7.0,102.51470978595886,111.57777777777778,103.20381012519232,108.80711
114.0,103.64805188811964,130.6888888888889,112.46605048503996,120.808655
125.0,111.76784944432752,128.11111111111111,121.349441741264,118.026794
135.0,108.41460184045177,97.28888888888888,112.25218948627932,109.8604
93.0,93.34566939352516,96.17777777777778,81.32977164227522,65.40411
95.0,103.5952267326236,99.53333333333332,112.13005087916368,112.43389
115.0,112.95552784332098,135.46666666666667,124.45821100362728,119.67979
113.0,110.58571542602844,106.86666666666666,105.21974703211195,116.31931
138.0,106.49765844610518,122.22222222222224,106.96555377609631,115.55229
79.0,103.71777422846056,105.97777777777776,114.26462313717754,111.0616
28.0,103.07834708819132,80.35555555555555,92.8945028343217,64.41194
136.0,115.70345047355148,124.35555555555555,124.48005102888985,116.36199
109.0,110.31583637848038,101.15555555555557,116.32949992433043,112.351456
186.0,117.25207203607624,120.4888888888889,127.58650398205106,124.900314
109.0,110.1793701326944,93.77777777777776,116.21813287012112,115.39735
150.0,110.27482938815167,87.28888888888889,122.05171455641116,118.85297
128.0,96.07986552774108,77.4888888888889,91.44210675029372,95.42141
0.0,15.828897487790698,8.592531632407006,0.0999704459405705,-3.0261683
144.0,108.01178970822176,120.5111111111111,111.7392832121156,117.53673
118.0,99.65063970572774,78.53333333333333,112.03826646769596,111.88472
15.0,103.89231122400712,103.15555555555557,113.0908698794412,111.96245
127.0,99.82325596448128,88.77777777777777,102.06275315036002,91.58167
119.0,113.0883605369645,116.4888888888889,126.1040872803836,118.30756
125.0,111.89612879746106,112.97777777777776,121.34807323338552,115.746735
108.0,113.23577278795588,130.9777777777778,120.81675351635111,121.72754
120.0,99.10835119159908,109.57777777777778,108.2392257191792,117.24711
124.0,102.0651385210522,118.5111111111111,112.26536260855254,112.18015
124.0,114.12282086024209,80.35555555555555,121.03457100513938,116.96505
65.0,99.16412798299362,73.8,108.6753481162968,110.80202
