Ridge,RF,SVM
74.39777151951012,118.39885714285722,112.07436416238389
93.28051418265375,110.12114285714287,71.11470344351886
152.5408357956469,55.90285714285707,170.27001312303545
-24.948449901604988,-32.67657142857149,-13.684004638643785
-37.10763538211887,-40.50057142857142,-37.89115341743701
-48.320122455261554,-96.1919999999999,-84.34940573213137
-18.57791852342126,25.98399999999998,-10.630708667882772
44.53285595483068,66.21371428571429,76.14085374855026
-72.4331458289079,-62.57257142857145,-79.92958641130332
138.32107995093253,105.21257142857155,168.9310746316327
-77.25920735370755,-74.72571428571428,-57.12543367785082
-29.374534449822335,4.381714285714288,23.69278331822376
40.18618631566707,-12.313142857142822,13.309337493620262
-48.10303010543383,-114.03085714285719,-33.00302258734875
-9.913518035807645,4.723828571428566,0.2188766046742181
-23.21724066967485,45.065142857142845,23.369859524292153
36.47814118098182,118.74514285714292,95.02251335983621
90.12635647104851,65.83085714285713,127.1184489225445
71.28844500706182,81.35200000000012,38.9981562713246
-5.874325195970535,-42.9462857142857,-2.272125078808166
-112.25428532478458,-106.91199999999998,-71.31536488267642
-8.089026694411302,-27.318857142857155,36.48519999034406
250.69224608042953,292.0708571428571,280.59373937108626
35.208486875423375,47.73599999999999,43.23277909905639
106.17170610570062,159.00457142857144,65.35185194947206
157.91085294036105,114.29828571428573,151.33859581674608
-148.40499946613284,-144.1051428571429,-165.00880688145278
-129.99781773146833,-109.42857142857142,-103.4692162780175
121.36477707683133,184.6514285714286,135.23079605659885
-73.67153534696848,-22.973714285714287,-28.036001378662313
-15.126523343406376,-24.18742857142861,37.8092806176594
12.892953910742804,12.220571428571432,53.18335525735543
31.990536578525422,136.72000000000003,62.936888994373035
-108.48977675473559,-56.602285714285756,-69.3186604449519
-74.35740041339614,-71.57828571428576,-64.38506682200261
-7.606996201733978,15.303999999999995,15.042990437708127
75.18432224619909,94.83542857142857,48.647307086903254
-109.32942217932847,-97.89028571428574,-58.25873689628906
89.41847231093111,108.07314285714286,114.23948189135115
-53.659250306650236,-24.55542857142857,-24.27042956378122
-27.63043315093458,-8.140571428571434,6.658985886654058
-11.648456856217194,-31.562285714285693,23.20074529638677
-11.796309463032927,-82.99428571428572,6.78607423777035
8.554166452007664,62.66514285714284,53.03543101773667
-90.18500167206147,-76.41028571428568,-61.23506534625794
