Y,Ridge,RF,SVM
352.0,277.6022284804899,233.60114285714278,239.9256358376161
329.72,236.43948581734628,219.59885714285716,258.60529655648116
300.04,147.49916420435312,244.13714285714295,129.76998687696457
145.64,170.58844990160497,178.31657142857148,159.32400463864377
195.68,232.78763538211888,236.18057142857143,233.57115341743702
159.28,207.60012245526156,255.4719999999999,243.62940573213137
172.07999999999998,190.65791852342124,146.096,182.71070866788276
127.36,82.82714404516932,61.14628571428571,51.21914625144974
144.51999999999998,216.95314582890788,207.09257142857143,224.4495864113033
359.08000000000004,220.7589200490675,253.8674285714285,190.14892536836734
52.72,129.97920735370755,127.44571428571427,109.84543367785082
58.36,87.73453444982233,53.97828571428571,34.66721668177624
232.08000000000004,191.89381368433297,244.39314285714286,218.77066250637978
10.16,58.26303010543383,124.19085714285718,43.16302258734875
14.48,24.393518035807645,9.756171428571434,14.261123395325782
76.03999999999999,99.25724066967484,30.974857142857147,52.67014047570784
306.16,269.6818588190182,187.4148571428571,211.13748664016381
179.04,88.91364352895148,113.20914285714287,51.92155107745549
299.8,228.5115549929382,218.4479999999999,260.8018437286754
13.68,19.554325195970534,56.6262857142857,15.952125078808166
3.2,115.45428532478458,110.11199999999998,74.51536488267642
84.6,92.6890266944113,111.91885714285715,48.11480000965594
303.52,52.82775391957047,11.449142857142858,22.926260628913738
194.0,158.79151312457662,146.264,150.7672209009436
331.92,225.7482938942994,172.91542857142858,266.56814805052795
342.36,184.44914705963896,228.0617142857143,191.02140418325394
46.400000000000006,194.80499946613284,190.5051428571429,211.4088068814528
19.56,149.55781773146833,128.98857142857142,123.0292162780175
285.56,164.19522292316867,100.90857142857139,150.32920394340115
32.88,106.55153534696849,55.85371428571429,60.916001378662315
74.72,89.84652334340637,98.90742857142861,36.9107193823406
86.12,73.2270460892572,73.89942857142857,32.936644742644575
168.48000000000002,136.4894634214746,31.75999999999999,105.54311100562698
15.16,123.64977675473558,71.76228571428575,84.4786604449519
