Player,Pos,Year,Ridge,RF,SVM,NeuralNet
Logan Paulsen,TE,2017,5.102756182470962,3.915999999999999,16.071762102908203,6.777561759948732
LaMont Jordan,RB,2003,-14.900081094722388,5.020000000000003,-5.0920165128420365,4.645837402343751
Josh Hill,TE,2019,17.17622075209089,27.609999999999992,26.41911114890572,27.02409133911133
Isaac Bruce,WR,2003,19.8155619425998,15.062000000000012,17.785804843132894,24.309490966796886
Mike Wallace,WR,2010,104.62677817238443,98.4,107.57740544504684,113.58892211914062
Jaron Brown,WR,2015,-23.836001685237758,-24.104,-12.670973923057716,-6.668908691406251
Derrick Ward,RB,2011,-34.47885756119344,-41.79,-23.99278119237885,-9.010736083984376
Reuben Droughns,RB,2003,-4.70883079304663,2.4440000000000026,8.281455726660987,3.636941528320314
Corey Dillon,RB,2003,-94.20552318298704,-129.13399999999996,-95.45455779417892,-79.64114074707031
Stepfan Taylor,RB,2016,-25.376341806958436,-56.32199999999999,-12.586454003475245,-16.75285224914551
Bubba Franks,TE,2007,0.482344132834676,0.1540000000000105,10.357927689148717,13.521372985839847
Jerome Mathis,WR,2006,-29.21782557381995,-24.899999999999995,-15.683352809338793,-22.82130241394043
Joe Horn,WR,2003,26.757135410404004,33.14800000000005,22.12461942095476,38.134060668945324
Benny Cunningham,RB,2015,-40.804345194992734,-17.46199999999999,-32.415159045992525,-21.057823181152344
James Mungro,RB,2004,-2.6207126610961358,-16.365999999999993,10.270695598435232,9.581798553466797
Brian Finneran,WR,2001,49.1777943331352,45.228,62.40187025250098,58.106313323974604
Reche Caldwell,WR,2003,-35.10425257681181,-21.288000000000004,-22.69640546643321,-16.616319274902345
Malcom Floyd,WR,2013,-99.47186987259104,-119.536,-99.49897478233132,-96.9047637939453
Charles Lee,WR,2001,-24.84516499818977,-41.474,-12.127137473905268,-16.677214431762696
Doug Jolley,TE,2003,-20.98870751557708,-6.167999999999999,-13.260426503542604,-5.3804931640625
Kenny Britt,WR,2015,3.961356223731656,17.53800000000001,6.602126768405185,6.957376098632807
Christian Blake,WR,2021,-32.03429437342745,-37.98000000000002,-19.7669670544128,-21.27821159362793
Chris Manhertz,TE,2018,-7.350094301502775,8.684,5.003261774669827,-3.3863504409790046
Sidney Rice,WR,2011,-7.362693656076516,3.952000000000013,0.62191361718547,14.100623321533206
Andre Johnson,WR,2016,-51.40070646520053,-31.745999999999988,-44.91756655174302,-40.175750732421875
Terrance Williams,WR,2018,-75.58297149157279,-76.34599999999999,-69.64387420534226,-64.99448699951172
Drew Bennett,WR,2008,-72.93462607340973,-53.924,-61.711713056327376,-40.712747192382814
Jason Huntley,RB,2021,-17.42895263603245,-27.40266666666667,-4.3708028369364,-9.706041717529295
Jamal Robertson,RB,2004,-23.46439571380902,-56.27799999999996,-11.389776282315935,-11.670498275756835
Troy Edwards,WR,2005,-79.65108440283376,-69.83400000000002,-71.08569597258459,-47.367767333984375
Terry Glenn,WR,2005,85.94406911720074,109.57,89.85812573038808,100.74265594482421
Stevan Ridley,RB,2017,-4.126578970047017,-21.480166666666644,8.779824566079274,2.6355503082275398
Tony Gonzalez,TE,2011,68.95912596954062,46.29400000000004,74.61252013396151,79.2762451171875
Brandon Bostick,TE,2015,-12.974401201732745,-23.99119999999999,0.364724401958842,-5.01083869934082
Vincent Jackson,WR,2016,-75.25392234026201,-105.38199999999996,-71.66038664341768,-68.64767761230469
James Develin,TE,2014,-21.138903187934734,-16.101999999999993,-9.70458430064301,-18.389590454101562
Justin Peelle,TE,2003,6.031134805590543,-0.1879999999999917,19.12302107998556,11.28044776916504
Anthony Fasano,TE,2014,2.440663408228083,-8.644000000000013,11.94378256497646,22.108708953857423
Coby Fleener,TE,2014,60.7325054273786,72.33400000000003,66.63331460830969,65.14021911621094
Aaron Walker,TE,2007,-21.305185501822823,-9.002000000000006,-9.86679198980723,-18.495333862304687
David Johnson,RB,2021,-66.42098176975243,-47.75999999999999,-63.7856049420087,-57.79295654296875
Andy Janovich,RB,2020,-27.10398356047812,-13.968,-14.840952148569055,-20.00122528076172
Muhsin Muhammad,WR,2001,-72.54559763062335,-59.10000000000008,-74.25630799287003,-62.557159423828125
Dawson Knox,TE,2020,-8.047785855307197,-23.86999999999999,-0.4851247204394155,0.3007858276367159
Ronald Jones II,RB,2019,115.48677786664804,118.78400000000002,128.6539189195783,126.2197120666504
Kory Sperry,TE,2010,-18.262511460028232,-14.073999999999996,-5.433150843110287,-10.138873291015624
Dontrell Hilliard,RB,2019,-7.25952753567406,1.0400000000000027,4.83816325467599,2.9426723480224624
Laquon Treadwell,WR,2020,-23.66240194205011,3.789999999999999,-12.1066002457312,-13.544690704345705
Justin Peelle,TE,2008,-11.08904143977879,-21.050000000000004,-0.1400748090741999,2.3516792297363267
Spencer Ware,RB,2014,58.67625769998818,47.50806666666666,71.56174260934633,65.58015518188478
Adrian Peterson,RB,2009,-173.37178178505854,-171.278,-176.1700975126595,-155.98934936523438
Brian Westbrook,RB,2004,111.24795691661669,119.61400000000002,115.81562857493104,122.73600769042969
Richie Brockel,TE,2012,-25.436473722998368,-27.198,-12.891829571421678,-17.809533309936523
Adam Thielen,WR,2020,123.87460748708664,133.618,129.51796318101782,128.83989715576172
D'Andre Swift,RB,2021,42.69737082045927,69.91000000000003,48.55759713567375,56.17851104736329
Allen Reisner,TE,2012,-15.257530707907527,-16.884000000000015,-2.1462257187764777,-8.906039237976074
Beanie Wells,RB,2010,-56.05148661001699,-82.386,-50.148037287911016,-48.34366455078125
Travis Minor,RB,2003,-10.6631276897187,-39.62399999999996,0.8853482672634172,4.868905639648439
J.R. Redmond,RB,2003,-17.719799205608844,-20.383999999999997,-4.5062179205271296,-10.85399570465088
Carlos Hyde,RB,2015,7.513000613471732,1.4199999999999875,18.350590368458683,34.38982467651367
Troy Walters,WR,2006,-4.742096351065598,2.961999999999996,7.554980884623205,6.949316406250006
James Thrash,WR,2005,-16.056106637702285,-37.724,-5.333036239000037,-4.166586685180661
Brandon Jones,WR,2006,10.920991121794527,21.50000000000002,19.758093508089296,29.895911407470706
Marcel Reece,RB,2013,-0.7282689124496926,-7.574000000000012,4.431932609373305,3.3899215698242244
Maxx Williams,TE,2021,-0.3610401459243135,-5.778000000000013,10.33177067388648,4.8235462188720675
Latavius Murray,RB,2016,49.30699041159522,45.82200000000003,51.051832323586495,63.23639984130858
Visanthe Shiancoe,TE,2004,-16.59238911728717,-12.821999999999989,-4.180036575793693,-7.62360954284668
Zach Miller,TE,2017,-55.29342008467916,-54.34,-49.2976224004922,-42.785101318359374
Jason Hill,WR,2009,-34.94372584921507,-46.49600000000001,-24.77469350167327,-14.873973846435547
David Martin,TE,2009,-56.692462781296015,-55.874,-49.38130972223247,-53.03682250976563
Brandin Cooks,WR,2017,28.801717897502385,40.60999999999999,26.32946337741788,45.40373535156249
Miles Boykin,WR,2020,19.829926624651197,21.298,29.337431758403667,27.480428314208986
Roy Williams,WR,2005,12.766120596844942,3.853999999999985,15.782555472691286,19.54748077392577
Qadree Ollison,RB,2021,-2.9636945300939352,1.4952666666666623,9.970600508373357,3.6094104766845696
Kenneth Darby,RB,2009,-28.52744072317672,-35.239999999999974,-18.254691567843587,-7.023684692382808
Frank Wycheck,TE,2001,26.364536575210607,28.43800000000003,32.320002934964904,49.90910034179687
Brandin Cooks,WR,2020,101.86908257079894,88.35999999999999,106.02601764526244,103.4337387084961
Terrance Williams,WR,2016,-5.0383234370185335,-1.2480000000000189,-4.164293717564107,0.042883300781255684
Jason Witten,TE,2004,113.0664825595286,120.832,122.6545468252999,133.97970581054688
Jakeem Grant,WR,2018,2.6619467555546663,13.238000000000014,14.939849145209024,12.960099029541013
Mike Boone,RB,2020,-34.20340508803354,-43.218,-23.541197183991912,-14.28682861328125
