Player,Pos,Year,Ridge,RF,SVM,NeuralNet
Jackie Battle,RB,2008,-25.957138429356597,-37.214,-12.95036825727831,-15.574490737915038
Ryquell Armstead,RB,2020,-38.4256200734742,-40.400000000000006,-26.61869624581071,-21.813665771484374
Chaz Schilens,WR,2010,-72.9878339057318,-82.902,-66.40872860402892,-51.87848663330078
Brice Butler,WR,2016,-18.73231747278849,-35.595999999999975,-9.645689331514768,-2.3599067687988224
Keenan Allen,WR,2015,8.337529264902443,-9.99800000000002,12.308684315964824,22.084922790527344
Olamide Zaccheaus,WR,2021,14.509359105031734,16.956000000000003,24.71219481383109,30.51687698364259
Jamal Lewis,RB,2004,-72.05423718101335,-26.92399999999995,-78.75227121462484,-45.438870239257795
Bill Schroeder,WR,2003,-21.989746536036947,-14.987999999999984,-17.629283892977853,-22.680187988281247
Chris Ivory,RB,2013,56.08618092441849,49.51000000000001,67.1962037584142,72.21597366333008
Rod Gardner,WR,2003,-20.558956955474716,-31.897999999999968,-19.76289317012976,-14.196731567382812
Steve Breaston,WR,2012,-96.7696374173968,-95.85799999999998,-94.22308764368331,-88.58562622070312
Trevor Gaylor,WR,2001,-14.634261156559404,-3.8619999999999943,-1.7835964151085977,-5.027092742919919
Tony Gonzalez,TE,2010,13.143972990618238,34.302000000000035,16.171694718880275,27.883691406250023
Erron Kinney,TE,2002,-25.60340822621037,-33.982,-16.978383801888253,-9.32610626220703
Lance Dunbar,RB,2014,-3.4011174078160096,-33.858,8.115982014060613,10.852899169921876
Frank Gore,RB,2007,-13.940997459515527,-24.87200000000007,-19.04628644971143,20.12836914062501
Brian Hartline,WR,2013,32.03698152900034,70.09600000000003,31.616103961833176,45.06298980712893
Brandon Tate,WR,2011,-45.025336030006095,-57.17000000000002,-38.436096863898776,-38.920599365234374
Latavius Murray,RB,2020,10.78886997651955,-12.355999999999966,16.671489122245987,17.152079772949236
Bryan Gilmore,WR,2004,-11.90904775736194,-8.116,-1.2082463228752405,1.7338558197021499
Nick Toon,WR,2014,4.184675381769971,21.966,16.645984397447798,9.711325073242186
Andre Caldwell,WR,2013,22.086484401504396,31.20800000000001,35.297750075658065,27.60789604187012
Lex Hilliard,RB,2011,-3.3755244847571437,-33.715999999999994,9.81023833362852,2.9676294326782227
Tony Jones,RB,2021,-1.0375018220765284,-16.937666666666694,11.599598802203497,5.598059272766115
Zach Zenner,RB,2016,57.11889067530633,36.712,69.61959376846775,66.31025505065918
Pierre Thomas,RB,2008,109.09255191136796,131.026,118.9431315128574,134.68767395019532
Travis Henry,RB,2006,108.10174876977308,82.21200000000002,118.53153178618152,126.85675659179688
Noah Brown,WR,2018,-16.440550110694822,-29.77199999999999,-3.2527619280323545,-10.274840927124023
Lance Dunbar,RB,2017,-31.331718442010423,-24.589999999999996,-18.75585891708856,-15.871140289306641
Eddie Lacy,RB,2017,-28.8667479200571,-37.272,-19.44676608348707,-9.793215179443358
Michael Thomas,WR,2019,110.99083674172203,113.20799999999994,105.31677279086044,123.04798278808596
Reggie Kelly,TE,2002,-7.214048399664943,-13.393999999999997,2.9028807156629988,-0.6011283874511726
