Player,Pos,Year,Y,Ridge,RF,SVM,NeuralNet
Leonard Fournette,RB,2021,219.1,96.99136883826532,75.83599999999998,87.88265089884918,84.04804
Dion Lewis,RB,2012,16.3,30.598223020351824,27.868,18.32669282760948,18.098192
Dante Rosario,TE,2011,30.5,49.60749106990546,43.534,37.85855142517296,31.658937
Zach Line,RB,2017,10.6,19.563048487938985,51.72600000000001,7.420180000254064,13.981476
Aaron Jones,RB,2021,201.0,171.98067476272664,203.45799999999988,171.96404425969976,154.43387
Jonnu Smith,TE,2019,87.2,50.89795611117776,60.54199999999999,42.14534036406356,40.248577
Eric Saubert,TE,2020,3.1,33.36994180497074,69.84399999999997,20.93861603901471,21.787302
Courtney Roby,WR,2013,1.6,21.5406566106089,24.286,8.323109031734056,15.998794
Cethan Carter,TE,2020,7.800000000000001,23.84608595354525,37.11599999999999,10.677107784120231,16.729847
Jamel White,RB,2002,141.7,116.0839925273702,96.46599999999994,110.53935186021556,105.395424
Plaxico Burress,WR,2003,137.3,166.3453914817476,144.862,171.68656428179057,154.97993
Andre Johnson,WR,2004,188.9,124.31879826183234,130.254,124.69111141174544,118.752716
Andre Holmes,WR,2013,61.6,23.05956517393416,17.684,9.953049845981909,16.402348
Dustin Keller,TE,2010,126.2,77.03463794202214,67.97600000000001,69.93444841690804,58.544647
Antonio Andrews,RB,2016,1.5,87.57138902864479,95.532,81.52661330923625,69.93771
Andre Johnson,WR,2013,225.2,192.4629536837786,227.786,201.95443721910837,178.78491
Torry Holt,WR,2006,221.3,190.8996219832684,182.87600000000003,195.63107714087317,178.75177
Tony Scheffler,TE,2008,100.4,88.38773216251178,87.09400000000001,81.89857274965503,80.80473
Jay Ajayi,RB,2016,195.8,52.22785467997667,59.81799999999999,41.42882236434729,33.12114
Dominique Dafney,TE,2021,4.4,27.56198472852762,18.802,15.337407985135007,19.524784
T.Y. Hilton,WR,2018,201.0,121.6297548646396,128.55999999999997,121.78505737881136,114.10067
Dan Campbell,TE,2003,35.5,33.363638544534936,40.8,24.20283902222056,26.265505
ReShard Lee,RB,2006,41.0,22.03121991781993,25.911866666666665,9.30279576035774,15.577564
Tony Brooks-James,RB,2020,0.4,20.58438261814321,31.99433333333332,7.66361689341727,13.753955
Jason Wright,RB,2006,28.1,32.658618027624634,23.91399999999999,19.60784215518204,22.388954
Jeremy Kerley,WR,2017,32.7,96.70119763741384,101.80799999999998,90.23495254661762,74.31763
Matt Jones,WR,2006,105.3,83.54183185046368,73.06800000000001,73.43342531115987,70.70105
Bam Childress,WR,2006,1.7000000000000002,58.811313809548366,49.64200000000002,47.78105039719172,36.55359
Antonio Bryant,WR,2009,103.5,162.43717460233177,159.13200000000003,166.30042247799938,149.91692
Owen Daniels,TE,2012,138.60000000000002,95.51885713737148,82.62,92.48647095508656,87.58495
Le'Veon Bell,RB,2018,180.0,226.81834404943555,263.242,230.68722487184908,198.63795
Cam Akers,RB,2021,2.8,88.68892553776216,65.016,82.04170678848851,72.98902
Greg Olsen,TE,2012,148.8,83.77373198963356,90.488,76.63950754061497,83.44877
Ryan Griffin,TE,2021,49.6,26.79707217534031,16.408,15.300439947495336,21.60625
Lorenzo Booker,RB,2011,11.400000000000002,32.89898015590242,51.87799999999999,20.122590922956483,21.141392
LeSean McCoy,RB,2010,256.2,116.31306582396716,83.56200000000001,109.47506972463944,100.57846
Peerless Price,WR,2001,164.7,102.5839482612552,92.98999999999997,99.8744153708498,93.28252
Jacoby Jones,WR,2009,91.4,28.204680052841333,43.470000000000006,15.20284177485098,25.642397
Chester Taylor,RB,2011,29.8,66.70798889920894,49.522,56.14250955168456,41.756493
Michael Floyd,WR,2016,12.8,123.37098957787492,149.90799999999993,121.2236285009355,114.03496
Roosevelt Nix,RB,2019,1.4,25.251900643351163,21.342,12.010614130446273,19.6431
